cache-scratch1 sys   0:00.87 3664 0.87 0.00 0 272
cache-scratch1 mi    0:00.91 3656 0.91 0.00 0 269
cache-scratchN strictseglockedcustom 0:00.22 3716 1.59 0.00 0 315
cache-scratchN strictsegptcustom 0:00.18 4032 1.90 0.00 0 346
cache-scratchN strictseglocked-16 0:00.20 3972 2.11 0.00 0 315
cache-scratchN strictsegpt-16 0:00.22 3936 2.31 0.00 0 328
cache-scratchN segpt-16 0:00.23 3736 2.50 0.00 0 320
cache-scratchN sys   0:00.26 3632 2.49 0.00 0 297
cache-scratchN mi    0:00.29 3764 2.73 0.00 0 297
glibc-simple strictseglockedcustom 0:03.93 3740 3.92 0.00 0 401
glibc-simple strictsegptcustom 0:01.96 4240 1.95 0.00 0 521
glibc-simple strictseglocked-16 0:03.33 3476 3.31 0.00 0 382
glibc-simple strictsegpt-16 0:01.63 3956 1.62 0.00 0 471
glibc-simple segpt-16 0:03.47 5320052 1.85 1.60 0 1329605
glibc-simple sys   0:02.76 1904 2.75 0.00 0 265
glibc-simple mi    0:02.72 1956 2.71 0.00 0 264
glibc-thread strictseglockedcustom 0: 6068 2.28 20.28 0 1145
glibc-thread strictsegptcustom 0: 8800 24.68 0.02 0 1793
glibc-thread strictseglocked-16 0: 5564 2.42 17.99 0 1017
glibc-thread strictsegpt-16 0: 8160 25.31 0.03 0 1558
glibc-thread segpt-16 0: 5221084 6.32 5.12 0 1304914
glibc-thread sys   0:2.557 3612 22.96 0.02 0 932
glibc-thread mi    0:2.503 3740 26.38 0.01 0 937
